username profile,rate,date,reviews
wilsonfcg,4,23-01-2024 06:06 AM,"Wangi banget seperti produk dari makarizo yang lain, terus hasilnya enak banget dirambut, rambut jadi wangi dan lembut, trus gampang ditata setelah itu. Makenya juga gampang gak ribet langsung di buat kerambut aja, gampang juga dicari, kalo beli jar agak mahal ya bisa coba yang sachet dulu"
nandaaristadwi,1,16-01-2024 06:59 PM,"awal pake tuh seneng bgt pas dibilas dia halus lembut gitu, 2 harian masi lembut bgt ga lepek gitu tapi sumpah demi apapun gua baru nyadar pas liat kepala tadi kaget ada ketombe. ternyata ini yang bikin ketombean bjir😭 gua bs bilang ini yg bikin ketombean karna sblm gua pake si makarijo inirambut gua aman2 aja"
tsaniaarfinaa,5,16-01-2024 05:55 AM,"So far masker rambut terbaik menurut aku, yg royal jelly ini wangi banget bahkan sampe 2 hari an masih wangi, bikin rambut lembut banget dan ga ngembang, even tiap hari aku kucir ttp balik lurus dan ga bercabang , ini terbaik si daripada merk thailand yg sempet viral itu😇"
radhiani,5,09-01-2024 12:18 AM,struktur creambath lebih halus mudah di colek lalu di oleskan ke Tangan kemudian di aplikasi kan ke rambut lebih mudah Dan penyerapan ke are rambut juga cepat hasil nya rambut lembut lama Dan kusut sedikit berkurang juga rambut sehat berkilau tapi kulit kepala ku biasa aja pakai ini kering nya berkurang sedikit saja
kemishara,5,08-01-2024 02:41 AM,"Aku udah cobain beberapa varian, beda varian beda bau ya. Sekarang lagi pakai yang ginseng, suka sih sama produknya, pemakaiannya awet juga di aku dan ga pernah pake conditioner lagi semenjak pakai hair mask (pernah liat di yt juga ada yang blg mending pake hair mask dari pada conditioner karna bikin kusut dan frizzy)"
Zulfajr,3,05-01-2024 07:19 AM,"Beneran bikin rambut lebih halus dan lemes, irit juga karena cukup pake sedikit. Sebenernya oke yaa, cuma kurang suka sama baunya, bau minyak urut :( walaupun wanginya ga awet tapi tetep azaa. Saranku jangan dipake ke deket scalp karena bisa bikin rambut lepek"
feein,3,03-01-2024 11:36 AM,"so-so, tipe rambutku tuh wavy, dry and thin. melembabkanya sama menghaluskanya itu biasa aja, bahkan di bandingkan sama cond yang aku pakai malah better condinya. beli juga karena tertarik aja, karena banyak yang bilang produk makarizo itu bagus2. tapi ya kembali ke diri masing-masing lagi"
andradiandra,5,20-12-2023 01:15 AM,"HOLY GRAIL ❤️❤️❤️❤️❤️ udah pake entah brp thn dr jaman sma. tekstur kental, wangi manis madu vanila aweeeeeeettt bgt di rambutku bahkan setelah seminggu gak keramas. hair creambath paling nampol buat menjinakkan rambutku. efeknya bikin rambut halus, lebih gampang diatur, lemes, keliatan lebih rapi dan lebih lurus, dan gak kusut sama sekali. aku cuma sisiran sebelum keramas dan keramas jg cuma seminggu 1x ato paling cpt 5 hari 1x 😆 sisanya sisir pake jari aja dan gak pernah kusut padahal rambutku tebel dan ngembang. pake ini sebagai pengganti conditioner 1 jar awet dipake buat berbulan2. selama ini suka ganti2an antara royal jelly, kiwi, sama ginseng sampe lupa efeknya gmn. dan setelah dibandingin langsung antara royal jelly sama ginseng, efeknya lebih nampol royal jelly. next ngebandingin yg kiwi jg biar makin mantep sama pilihan hati wkwk"
afil,5,11-12-2023 01:11 PM,"dah lah gausa diraguin lagi sama product makarizo satu ini. im very like it!!!❤️‍🔥❤️‍🔥tiap kali rambut kusem, ngembang, susah buat diatur mesti pake benda ajaib ini. hasilnya, kayak rambut pake perawatan mahal. temenku aja sampe banya yang nanya perawatan rambut dimana. bcz, rambut is crown👑pas aku jawab ""aku cmn pake hair scalp nya makarizo royal jelly"" pada gapercaya dongg😭😭"
dwivietasya,4,28-11-2023 06:11 AM,"Dapet sample dari lazada try & buy. Kaget pas coba konsistensinya padet bangettt, warna produknya orange. Untuk baunya pertama sweet lalu kecium bau kayak salep + purol. Setelah dibilas rambutku ga yg jadi halus banget tapi lumayan lah. Untuk rambut rontok dan ketombe ga gitu rekomen, lebih cocok buat rambut kering. Scalp-ku juga lagi bermasalah, produk ini cukup ""ngademin” walau ga bantu banyak."
endennuraeni,5,17-11-2023 07:44 AM,"Pokoknya kalo mau maskeran rambut di rumah, ini recommended! Buat pemilik rambut rusak, kering dan rontok, ini bestie. Wanginya enak dan tahan lama. Cara pakenya pun gampang. Aku biasa pake seminggu 2x. After feelnya itu beneran lembut.. Rambut singa bakalan jd lembut banget. Cobain dehhh"
tisca_lestari,4,06-11-2023 06:14 AM,"Ini adalah masker rambut yang gampanggggg banget ditemuin di minimarket. Aku beli ini waktu rambutku kering banget. Setelah pemakaian, rambutku berasa lembut. Dan aku suka banget wanginya. Untuk harga yang saset juga dia tergolong murah. must try product"
fadhilalfahyed,5,05-11-2023 06:39 AM,"Makarizo creabath bagus banget di kulit kepala serta rambut aja, rambut wangi juga melembutkan tidak kering. Pokonya produk ini aku rekomendasiin buat kalian yang mau coba creambath sendiri di rumah kalian sangat sangat bagus deh cobain"
Ecyyyy,5,04-11-2023 07:35 AM,"sangat bagus membantu menyuburkan rambut dan menghilangkan ketombe. Produk ini cocok digunakan untuk rambut normal dan berminyak. Krim creambath yang bermanfaat untuk membantu membersihkan dan mengurangi kerontokan rambut, serta membantu menguatkan akar rambut."
sherlypgrbb,5,30-10-2023 08:10 AM,"biasa aku pake produk ini sebagai conditioner sekaligus creambath rambut akuu. wanginya yg beneran seenak itu+longlasting 2-3 harian di rambut 😻🫶. dirutinin pake bikin rambut gampang diatur, ga ngembang+ga kering juga. recommended bgt pokoknya! ✨💓"
sabrina0,5,25-10-2023 06:45 AM,"beli ini yang tube (200ml) tuh cuma 31 ribu😭🙏🏼 dia hairmask, tapi aku jadiin conditioner sih WKWKW untuk wanginya suka bangett, setelahnya juga jadi halus rambut aku! aku pake dari agustus sampe skrg awet sih, mungkin 200ml bisa dipake 3-4bulan buat rambut panjang. di aku hasilnya rambut bnr bnr halus dan ga gampang kusut+wangi <3"
phithachu,5,18-09-2023 05:39 AM,"aku udah berkali-kali repurchase produk yang satu ini karena emang sebagus itu. di aku bikin rambut ku super wangi, halus, dan lembut. wanginya juga tahan lama banget, aku selalu beli yang kemasan sachet karena gampang di bawa kemana-mana kalau mau traveling"
patricialely,5,17-09-2023 06:47 AM,"Rambutku kering gitu karna keseringan naik motor buat kemana2 & kena panas+polusi jakarta, pakai conditioner setelah keramas juga ga terlalu ngaruh, trus mulai thn lalu aku rutin pake ini setiap abis keramas untuk hair ends (kalo scalp creambath paling cuma seminggu sekali) DAN BAGUS BGT BGT BGT✨🤩 Harganya juga worth it bgt sih menurutku, gak bikin kantong jebol. I'd definitely repurchase it sih wkwkwkw"
Faraurelia_P,5,08-09-2023 02:45 AM,"wooow ini ngebantu rambut cabang akuuu. aku pake metode hair reverse beneran kebantu. aromanya jg enak. isinya banyak. rekomen buat yg punya rambut kering kasar bercabang. dia ini teksturnya thick, aku tambahin hair oil jdi lebih mantep!!"
Cynthiae,4,19-08-2023 04:23 PM,"Aku nyobain makarizo hair energy yg creambath ini karena beberapa waktu lalu barusan smoothing dan ngerasa perlu buat lebih rajin ngerawat rambut biar ngga kering. Ini tuh aromanya soft banget, cocok buat yang ngga terlalu suka aroma yang strong. Makarizo ini cara pemakaiannya stl habis keramas & perlu dibilas lg ya. Ini agak effort sih buat aku yg kurang suka pake haircare yg perlu banyak step, but so far aku suka sama makarizo ini karna abis pake ini rambut brasa lbh lembut compare kalau aku cuma pake shampoo aja"
glorypardede,5,15-08-2023 01:38 AM,"ini sih udah jadi produk andalan yang gatau kayanya udah jatuh cinta ajaa. penyelamat rambutku yang kering dan suka ngembang. selalu rutin pake 2-3 kali seminggu. rambut jadi gampang bgttt diatur. apalagi kalo mau nyatok, biasanya suka pake ini dulu. terus hasil catokannya jadi makin lembuttt"
melynmels,5,14-08-2023 02:25 AM,"Aku nyobain versi sachetnya yang isinya lumayan bisa dipake 2-3kali. Teksturnya cream yg thick gituu warna orens. Baunya kurang suka karena lumayan kenceng aroma herbal, heheheh.. Setelah dipake dia bikin rambut halus,  ini dia lebih untuk melembabkan rambut yang kering dan rusak. It works okay cuma minus di aromanya aja, heheheh"
ghinadhia,4,10-08-2023 07:51 AM,"Jujurly aku beli dan nyobain ini karna aku suka wanginya dan gampang bgt dicari di minimarket. setelah dicoba ternyata beneran suka, bikin rambut gampang diatur tapi ga lepek. balik lagi ke alesan aku beli karna wanginya dan untungnya wanginya masih tetep kecium walaupun rambutku udah di styling/ di hairdyrer"
Baretta,5,04-08-2023 04:28 AM,"Creambath Makarizo ini bagus banget ❤ Suka banget sama creambath ini karena sehabis pakai creambath ini rambut jadi lebih lembut dan mudah di atur. Untuk efek jangka panjangnya, creambath ini buat rambut aku yang kering dan ngembang menjadi lebih mendingan, sekarang rambut aku jadi lebih sehat dan gak sekering dan semengembang dulu. Aku juga suka banget sama creambath ini karena harumnya bisa tahan sekitar 2 harian setelah pemakaian. Makarizo creambath ini gak nimbulin efek buruk untuk rambut aku."
meliaafy,5,01-08-2023 05:29 AM,"awal beli pas diskon penasaran juga mau cobain karena klaim nya untuk rambut kering pas banget rambut ku kering karena suka catokan. aku rasain perbedaan setelah 3 kali pake rambut ku jadi lebih lembut, ga crispy dan ujung rambut ku yang kering lebih membaik, enakk banget wanginya kaya samponya"
Nrfalahaljnh,5,24-07-2023 04:38 PM,"Walaupun ni masker rambut kelihatan hasil nya sekitaran 4 kali pakeee, tp kalo soal aroma nyaaa enak bgt.. aroma nya lembut sama kek shampooo nyaaa.. yang aku rasain setelah pake ni masker rambut yg pasti rambut aku jd makin lembut dan mudah di sisir😄 rambut mengembang ku juga makin bisa di atur dan agak layu kan biasa nya kek singa rambut aku it😭 terus jg buat rambut aku jd wangi apalagi kalo sepaket pake shampoo nya hehe untuk rambut kering menurut aku kurang ngelembabin tapi di banding shampoo nya si masker ini yg berpengaruh besar untuk kelembaban rambut.. oh iya aku pake nya seminggu 2x ya"
alyazahira,5,13-07-2023 06:13 AM,"hairmask pertamakuuu, termasuk murah karena isinya banyakk. kalo abis pake ini selalu dipuji rambut wangi walopun udh gak keramas 3 hari. makenya dikit aja padahal. rambut berasa lebih ringan dan gak gampang lepek juga sih, sejauh ini udh ngabisin lebih dr 5 jar kayanya"
amalialis,5,11-07-2023 12:43 PM,"Biasanya beli conditioner untuk perawatan rambut, cuman pas di Guardian nemu Makarizo creambath ini dan lagi diskon 🥰 harganya jadi berapa lupa sih pokoknya jadi mursidahh banget 😁 packagingnya pakai wadah jar lumayan besar dan warnanya dominan orange, coba yang varian honey untuk menutrisi rambut ✨, teksturnya creamy seperti tekstur conditioner, wangi nya juga enakan, nah kalau creambath itu kan cara pakainya sesuai petunjuk produknya sih dibilas air hangat atau di steam dulu ya, kalau saya pemakai pribadi seperti pakai conditioner aja si, bilas air dingin nggak mau repot 😅, di saya hasilnya juga bagus-bagus aja nggak bikin ketombean atau masalah lainnya, malah lebih lembut pakai creambath ini 😁"
Nanut,4,01-07-2023 09:07 AM,"Sebelumnya bukan tipe orang yang peduli dengan masalah rambut, akhirnya iseng-iseng beli ini. So far di rambut aku, gak bikin rontok berkurang tapi untuk wangi dan lembut nya nampol pol🥰. rambut bercabang ku juga jadi kian membaik, bakalan coba varian lain lagi!"
Ani_ismaa,5,29-06-2023 11:35 AM,"suka banget sama produk ini, rambut bercabang aku udah gak ada dan rambut jadi sehat. aku juga pake in ke kakak sepupu yang kutuan dan rambutnya bercabang parah, eh sekarang dia rambutnya juga sehat + kata dia sekarang udah gak kutuan karena pakai creambath ini, padahal dia gak pake obat kutu, cuma pake produk ini bisa mengatasi masalah rambut dan juga mengatasi kutu dong😂"
neysarahmaf,4,19-06-2023 01:25 PM,"Beli varian yg royal jelly karena kata reviews di FD baguss dan kebetulan hairmask ku yg varian kiwi udh expired ya, akhirnya aku beli yg sachetan dulu. Setelah di rutinin sebulan, yg varian royal jelly ngebuat rambut aku lebih kuat. biasanya tuh klo keramas pasti banyak rambut yg rontok tapi semenjak aku rutin pake ini disetiap sesi keramas rambut yg rontok pun berkurang. Seneng rasanya hihiw.. cuma yg aku kurang suka wanginya sih heheu dan after pemakaian kadang agak kering. Tapi bisa diakalin pake vitamin rambut"
kei_sya,4,20-05-2023 08:50 AM,Rambutku tipenya berminyak dan tipis. So far belum pernah pakai haircare. Cuman pakai shampoo asal cocok aja 😂😂😂 Akhirnya main ke Guardian dan iseng pakai ini. Well suka sama aromanya sih. Setelah pakai rambutku juga masih segitu2 aja. Mungkin kurang sering dan konsisten aja yah.
leoiskafrank,4,09-05-2023 07:29 AM,"awalnya gak mau beli hair mask, tapi karena tau-tau hair mask ku abis langsung minta ini ke pak suami. . . tekstur kental dengan aroma 'jamu' gitu warnane putih oren . . . tapi ini gak jamu-jamu banget kok masih ada aroma jelly yang 'lucu' lah . . . aku pake 1-2 X seminggu setelah keramas, hasilnya rambutku jadi seger, gak gampang lepek. . . dan nampak sehat. . . untuk rontok tetep yo bestie . . . karena ini bukan buat rampbut rontok. .. . repurchase ？ yes maybe"
AbiyazkaZahra,4,21-04-2023 02:36 AM,"mudah ditemukan di toko macem indomart atau temennya. aku pribadi belinya yang sasetan ajaa jadi kalo habis bisa langsung beli varian lain. yang satu ini menurut aku tekstur creamy warna putih dengan wangi khas makarizo yakni wangi salon. di rambut aku jadi terasa lebih sehat, keringjya berkurang dan dry scalp juga berkurang sih."
wenast,5,14-04-2023 05:04 AM,"Setelah shampo lalu dilanjutkan menggunakan creambath, ada sensansi hangat pada kullit kepala. Texture sangat kental dan berlemak, seperti butter kental. Tapi efeknya, untuk rambut harimau dan mengembang seperti rambut saya lumayan halus dan bisa diatur. Agak terganggu dengan wanginya, khas wangi hair stylish. Baiknya dipakai seminggu 2x sampai 3 kali. Harga terjangkau"
itayhna,5,10-04-2023 02:10 PM,Kenapa yaa yang varian madu itu wanginya juaraaa daripada varian yang lain huhuuu. Super duper enak dan lembuttt habis dipakai. Wanginya awet seharian kayak habis dari salon. Bikin rambut halus dan lembut. Sayangnya ga mengurangi kerontokan
_Ameliaefendi97,5,10-04-2023 11:47 AM,"Cobain makarizo karena dulu mau ke salon buat hair spa tapi mager akhirnya mampir ke minimarket dan beli yang kemasan sekali pakai, jujur awal coba langsung jatuh cinta sama makarizo karena aromanya enak banget bener - bener mirip hair spa atau creambath di salon, dia lembut, wanginya tahan lama, dan bikin rambut lebih sehat dan bervolume, aku pakai setelah keramas lalu aku bungkus pakai handuk kecil yang udah di rendan air hangat, aku tungguin 30 menit, habis itu di bilas, udah setelah itu wanginya nempel terus berhari hari"
rafikaamaliaf,5,08-04-2023 11:31 AM,"awalnya iseng nyobain ini, dan gak nyangka ternyata bagus bangetttt! teksturnya tuh cream yang thick gitu. diaplikasiin ke seluruh rambut, dan ini tuh boleh kena kulit kepala loh (diliat dari intruksi pemakaiannya), dan emang bener pas kena kulit kepala gak bikin gatal atau ketombean. setelah rutin pake ini, aku notice rambutku jadi lembut dan gak terlalu kering kayak dulu. paling suka sih wanginya duhhhh wangi banget berasa habis dari salon 😭"
ardianty,5,07-04-2023 03:30 PM,"Kecintaan aku niii karna isinya banyaakk harganya murah meski beli yg sachetan doang. Meski sachet tp krn isinya bnyk sehingga bs aku pake 2x pemakaian krn rambutku pendek. Baunya huuhuu gemesin bangeettt🥺 bau madu nya kuat tp ga eneg, mana tahan lama bgt lagi baunya sampe keramas selanjutnya lagi. Efek setelah pemakaian duuhh rambut berasa kain sutra, lembuuuttt bgt licin dan bercahaya, pdhl rambutku bukan tipe rambut yg lembut tp pake ini jd berasa rambut idol korea wwkwkwkwk. Mau dipake keringetan dan kena polusi pun ttp lembut dan wanginya awet. Testur produk ini kyk hair mask pd umumnya tp dia versi agak kasar gitu, kalo mau efek yg lebih nampol mnding ditutup handuk panas biar lebih meresap ke dlm rambut"
asyifanurulrahm,5,05-04-2023 06:28 AM,"Awalnya pake karena liat bapak aku pake ini haha. Ternyata emg baguuusss, asliiii. Bikin rambut lembuuut. Aku baru nyoba yg ini sih, yg varian lain belum aku coba. Wanginya enaaak, biasanya aku pake cukup di rambut aja, jd ga sampe bagian akar rambut"
FiandaMS,5,04-04-2023 06:07 AM,"After pake ini rambut jadi halus dan lembut, gampang diatur juga, wanginya lumayan manis fruity gitu jujur ini agak nyegrak di hidung sih, tapi kalo udah dibilas wanginya gak se-strong itu dan jadi lemes aja gitu rambutnya🥰 harganya affordable 90rb an buat isi 500gr 👍"
mariaandreana,5,03-04-2023 03:47 AM,"Hair masknya enaakk, aku suka pake ini seminggu 2x, teksturnya gel cream dan wangii banget wanginya lumayan enak juga, mudah diratain di kepala. dia bisa dipakai sampe kulit kepala yaa. sambil dipijat halus terus dibiarin aja 10 menitan, bilasnya enak walau kerasa licin yaa rambut kaya masih belum bersih gituu, tapi aku suka jadi rambut ga kering. lembabnya enak dan bikin rambut halus jatuh juga"
nafisaica,5,31-03-2023 06:28 PM,"Kali ini reviewnya makarizo edition hehe, selain yang varian kiwi, aku juga suka banget yang royal jelly ini karena wanginya soft tapi nagih banget, untuk after pemakaian sama kaya yang kiwi, alus banget setelah dibilas, dan yang paling penting adalah gampang dibilasnya"
Thifani_Y,5,15-03-2023 07:25 AM,udah dr SD pake creambath makarizo yang madu. karena cinta dengan wanginya semanis itu. dan rambut ku yg kering jadi lembut lagi. aku pakenya sblm keramas didiemin sekitar 20-30 mnt terus bilas pake sampo. iya sih wanginya jadi gk begitu kenceng lagi. tp klo engk gini rambut ku jadi super berminyak.
safaranuansa,3,06-03-2023 05:14 PM,"Teksturnya kyk lotion creamy yg gampang di ratain di rambut, wanginya aku gaada masalah sih dan wanginya awet, tapi setelah aku bilas dia kyk masih ada residunya kyk hbs pake bedak (cmiiw) dan aku kurang suka, dan hasilnya setelah pakai ini halus sih kyk pakai conditioner biasa, tapi setelah pke ini rambur jadi cepet banget lepek dan berminyak):"
Kakaramnst,4,11-02-2023 11:52 AM,Karena sebelumnya aku suka dengan hair treatment nya makarizo yang aroma kiwi jadinya aku beli ini untuk coba-coba. Kalau di aku lumayan ada untuk membuat rambut gersang ku menjadi lembab tapi ngebuat rambutku cepet gatel gitu sih Tapj untuk aroma masih best si kiwi lah
popy_mercylin,4,08-02-2023 03:47 AM,cream creambath ini tuh aku kurang suka di aroma nya .. agak kurang nyaman dan efeknya juga biasa aja.. tetap lebih favorit yang varian kiwi sih kalo aku ... tapi tetap bagus sih tekstur rambut jadi lebih lembut
Immas1314,3,02-02-2023 01:32 PM,"love and hate sih sama produk ini. pertama, dia emang lumayan bikin rambut keringku halus dan lebih mudah diatur. kedua, wanginya awet berhari-hari walau awalnya emang lumayan menyengat. yang aku kurang suka, kalau dia kena kulit kepala sedikiiiiiit aja, kulit kepalaku auto gatal dan bikin ketombean."
DiyanUtami,4,26-01-2023 02:27 PM,"Udah lama beli, cuma belum sempet kepake karena dapet sample dr garnier. Awal di pakai lumayan nyegrak baunya, tapi pas kena kulit kepala ada sensasi mint nya jadi berasa seger aja di kulit. Baunya jadi nggak nyegrak setelah di bilas pakai shampoo. Rambut ku lepek, jujur karena ini buat rambut kering takut juga kalau tambah lepek. Ternyata nggak bikin cepet lepek dong, rambut malah jadi ngembang sehat dan lembab."
akirarvie,4,14-01-2023 12:46 AM,"permasalahan rambut yang tidak kunjung kelar, disarankan untuk menggunakan hair mask / hair creambath agar rambut lebih halus dan mudah diatur. Akhirnya aku mencoba produk ini dalam bentuk sachet dulu. Aku suka sama wanginya yang kaya permen, pada saat diaplikasikan sudah terasa rambut lebih lembut dan setelah dibilas aku merasa rambut lebih mudah diatur dan halus. Suka sih sama hasilnya."
ste_fanie_,4,13-01-2023 11:08 AM,"Aku baru pertama kali pake produk ini. Jujur aja sih... Aku nggak suka sama baunya ya. Menurut aku baunya tuh nyengat banget 😭 Mana aku beli 2 bungkus gitu kan. Tau baunya bakal nyengat gini, mending beli 1 dulu aja buat coba-coba. Ya ini salah aku sendiri sih ya, yang langsung main beli 2 bungkus 😂😭 Tapi pas dipake, menurut aku enaknya ada sensasi dingin-dingin mint gitu (kalo didiemin sambil dipijit-pijit kepalanya). Rambut jadi halus habis pake ini. Kalo baunya lebih enak kayak produk sebelah, aku bakal kasih bintang 5 sih. Tapi karena ini baunya nggak enak, nyengat banget, aku nggak suka..."
rororindu,5,07-01-2023 12:17 PM,"Suka banget sama semua varian Makarizo hair energy creambath ini, finishnya di rambutku sama aja buat semua varian paling cuman beda di aromanya aja. Tapi aku paling suka yang royal jelly inii. Dipakai saat rambut udah setengah kering setelah keramas pake shampoo, trus diaplikasikan di kulit kepala sampai ujung rambut. Tunggu beberapa menit, lalu dibilas. ⭐ Sumpah sih semua variannya wangi wangi banget, dan aku suka. Mana wanginya bisa awet di rambutku sampe 3 harian lagi. Bikin rambut mudah diatur dan keliatan cakep, asli. Tapi emang sayangnya, produk ini bikin rambut bagus saat dipake aja. Kalo berhenti pake hair energy creambath ini, rambut perlahan jadi balik lagi ke keadaan semula :( Kan pengennya yang bisa ngerawat rambut ya girls, walaupun udah nggak dipake 😂 Tapi nggakpapa aku tetep cinta kok <3"
aldona1205,3,05-01-2023 03:13 AM,"aku beli yg sachet krna ingin coba2 dl. wlopun isinya paling cm bisa sekali pakai. setelah aku buka aku udh ilfill sm bau ny yg mrnurut aku gaenak bgt, terlalu strong gmn gtu. udh gt sampe 3hr masih ada. klo untuk klaim ny sih beneran bikin rambut lembut setelah dipakai, rambut jg jd halus dan gampang diatur cm yg minus cm wangi ny aja yg ga cocok di aku"
Axzlyn,4,31-12-2022 07:47 AM,"sebelumnya udah pernah pakai hair mask makarizo tapi yg repair mask, secara teksturnya dia sama kaya yg repair mask cuman baunya beda (ini baunya sama kaya shampoo nya yg varian royal jelly) pas awal kupake wanginya strong bgt tapi pas udah dibilas wanginya ga se strong itu di aku agak bikin pusing sih karna wangi bgt. setelah pemakaian ini yang kurasain rambutku lebih halus sih sama rontokku ga sebanyak pas pake yg repair mask, wanginya dia tahan lama di rambutku. aku pakai yg sachetan harganya sekitar 7rb an isi 30ml."
Reghinan17,5,13-12-2022 03:39 PM,"Aku suka banget sama produk iniiii. Isinya banyak, harganya pun masih under 100.000. Satu jar aja habisnya lama banget shayy. Lebih murah beli yang jar dari pada sachet. Dia tuh harum bangettt. Yang aku rasain dari produk ini tuh, dia bikin halus dan bikin gak gampang kusut, plus keliatan jadi kaya rambut sehat. Sukaaa"
Haura,5,04-12-2022 10:04 PM,"awal pake tuh wanginya agak aneh. gak nyengat tapi yaa aneh aja pokoknya. pas udah dipake tuh rambut kerasa banget lembut dan mudah di atur. udah nyoba produk lain tapi menurutku produk ini belum ada lawan ehehe. murah juga, enak deh pokoknya"
firyalane,5,22-11-2022 02:56 PM,"rambut lembut bangettt jadi gampang atur rambut, dirambutku yg lurus membantu banget rambut lebih mengembang terhindar dari lepek. wanginya bikin seger, harganya terjangkau banget. aku rekomendasi banget buat perawatan rambut daily wajib punya"
